"Label","Ni.Vol.Corrected","Temp","hrs","Th.Density","R3","Tempk","z","zz","zzz","mkeydiam","mkeythick","stressf","condAve"
"WH13D",0.35,900,5,95.43529023,2.94998330388598,1173.15,0.000852405915697055,6.53980931591767,4.90489287530786,NA,NA,NA,9.075558434
"WH13T",0.35,900,5,NA,NA,1173.15,NA,NA,NA,9.84,0.55,126.126833688979,NA
"WH13U",0.35,900,5,NA,NA,1173.15,NA,NA,NA,9.86,0.45,145.805543708442,NA
"WH13V",0.35,900,5,NA,NA,1173.15,NA,NA,NA,9.86,0.66,154.09639140461,NA
"WH13W",0.35,900,5,NA,NA,1173.15,NA,NA,NA,9.87,0.55,98.8348477059288,NA
"WH13X",0.35,900,5,NA,NA,1173.15,NA,NA,NA,9.88,0.46,130.767015880735,NA
"WH13Y",0.35,900,5,NA,NA,1173.15,NA,NA,NA,9.88,0.48,155.850568603349,NA
"WH13Z",0.35,900,5,NA,NA,1173.15,NA,NA,NA,11.2,0.67,106.594302112751,NA
"WH14A",0.4,900,5,93.39210326,NA,1173.15,0.000852405915697055,NA,NA,NA,NA,NA,NA
"WH14B",0.4,900,5,94.97479345,6.07944253428109,1173.15,0.000852405915697055,7.26292280861545,5.51464644046239,9.67,0.53,166.539712497348,1864.328299
"WH14C",0.4,900,5,94.49730236,6.13920651647675,1173.15,0.000852405915697055,7.27270530724535,5.52442893909228,9.62,0.52,206.741138798449,1727.535013
"WH14D",0.4,900,5,95.59147512,5.57753397914519,1173.15,0.000852405915697055,7.17675654476964,5.42848017661657,NA,NA,NA,1134.767341
"WH15A",0.5,900,5,92.97173394,10.8533443081946,1173.15,0.000852405915697055,7.84248306894464,5.90097833445393,NA,NA,NA,7629.478441
"WH15B",0.5,900,5,94.84233332,1.62756281947361,1173.15,0.000852405915697055,5.94509349839221,4.0035887639015,9.53,1.07,134.585363324904,8899.750466
"WH15C",0.5,900,5,NA,NA,1173.15,NA,NA,NA,9.57,0.78,140.723443940491,NA
"WH15D",0.5,900,5,NA,NA,1173.15,NA,NA,NA,9.58,1.21,125.47250496406,NA
"WH15Y",0.5,900,5,NA,NA,1173.15,NA,NA,NA,9.74,0.41,146.170489791974,NA
"WH15Z",0.5,900,5,NA,NA,1173.15,NA,NA,NA,9.68,0.45,181.494950544783,NA
"WH16A",0.24,800,5,77.98766032,0.800303578629585,1073.15,0.000931836183198994,5.14615146538457,3.82139246179143,10.34,0.57,89.3621982281631,NA
"WH16B",0.24,800,5,77.25813654,0.770467006156375,1073.15,0.000931836183198994,5.10815716891325,3.78339816532011,10.33,0.55,94.9491476776119,NA
"WH16C",0.24,800,5,79.60164369,0.453805870815696,1073.15,0.000931836183198994,4.57882984568473,3.25407084209159,10.37,0.48,80.5563440576134,NA
"WH17A",0.35,800,5,79.41020516,1.18998384229988,1073.15,0.000931836183198994,5.54285534452557,3.90793890391575,10.36,0.3,77.339039459442,NA
"WH17B",0.35,800,5,81.68697681,1.33329836639333,1073.15,0.000931836183198994,5.65657146229647,4.02165502168665,10.38,0.43,147.243234129914,NA
"WH17C",0.35,800,5,80.68990655,1.29296771939877,1073.15,0.000931836183198994,5.62585574920944,3.99093930859962,NA,NA,NA,NA
"WH17T",0.35,800,5,NA,NA,1073.15,NA,NA,NA,12.42,0.9,33.414490015882,NA
"WH17U",0.35,800,5,NA,NA,1073.15,NA,NA,NA,12.41,0.81,65.8028862758081,NA
"WH17V",0.35,800,5,NA,NA,1073.15,NA,NA,NA,12.4,0.89,72.0780953716918,NA
"WH17W",0.35,800,5,NA,NA,1073.15,NA,NA,NA,12.41,0.83,49.5824433316117,NA
"WH17X",0.35,800,5,NA,NA,1073.15,NA,NA,NA,12.45,0.86,76.0551906085426,NA
"WH17Y",0.35,800,5,NA,NA,1073.15,NA,NA,NA,12.47,0.75,54.40742725494,NA
"WH17Z",0.35,800,5,NA,NA,1073.15,NA,NA,NA,12.36,0.8,47.2506807170407,NA
"WH18A",0.4,800,5,81.18315934,NA,1073.15,0.000931836183198994,NA,NA,NA,NA,NA,49.72036966
"WH18B",0.4,800,5,80.01193474,NA,1073.15,0.000931836183198994,NA,NA,NA,NA,NA,NA
"WH18C",0.4,800,5,82.87408776,NA,1073.15,0.000931836183198994,NA,NA,NA,NA,NA,112.1056121
"WH19A",0.24,700,5,53.19541646,0.0352187274471121,973.15,0.00102759081333813,1.92492301214625,0.600164008553119,NA,NA,NA,NA
"WH19B",0.24,700,5,53.22126049,0.0228162663186003,973.15,0.00102759081333813,1.49081875788528,0.166059754292149,11.52,0.56,18.2684051733091,NA
"WH19C",0.24,700,5,53.01476748,0.0364989266674638,973.15,0.00102759081333813,1.96062789505756,0.635868891464427,11.53,0.66,28.6224308023704,NA
"WH20A",0.35,700,5,55.16284412,NA,973.15,0.00102759081333813,NA,NA,11.59,0.7,30.6825693067286,NA
"WH20B",0.35,700,5,54.98801916,0.108706825158838,973.15,0.00102759081333813,3.05199962237812,1.4170831817683,NA,NA,NA,NA
"WH20C",0.35,700,5,54.63237629,0.0786544853638226,973.15,0.00102759081333813,2.72840969856975,1.09349325795993,11.59,0.79,29.1081067128966,NA
"WH21A",0.4,700,5,57.42445703,NA,973.15,0.00102759081333813,NA,NA,NA,NA,NA,NA
"WH21B",0.4,700,5,55.00354108,1.571606647078,973.15,0.00102759081333813,5.72319875844503,3.97492239029197,NA,NA,NA,NA
"WH21C",0.4,700,5,53.66085208,NA,973.15,0.00102759081333813,NA,NA,NA,NA,NA,NA
"WH22A",0.1,900,10,97.31391142,NA,1173.15,0.000852405915697055,NA,NA,NA,NA,NA,NA
"WH22B",0.1,900,10,96.49167235,0.479300751529101,1173.15,0.000852405915697055,4.02943561987616,3.35741913391051,10.21,0.68,73.7326664646182,1.468385124
"WH22C",0.1,900,10,96.18111028,0.353255810963322,1173.15,0.000852405915697055,3.72429981717121,3.05228333120557,NA,NA,NA,0.796488488
"WH23A",0.2,900,10,94.37425183,2.9383223775529,1173.15,0.000852405915697055,5.84270142332682,4.66198957948352,NA,NA,NA,0.704181183
"WH23B",0.2,900,10,93.69876011,2.4737623784551,1173.15,0.000852405915697055,5.67060284656704,4.48989100272373,9.7,0.46,65.0470876550412,0.632305397
"WH23C",0.2,900,10,93.98306869,2.07022773624185,1173.15,0.000852405915697055,5.49252124345562,4.31180939961231,NA,NA,NA,NA
"WH24A",0.4,900,10,98.08060539,9.50839217612819,1173.15,0.000852405915697055,7.01703742033242,5.26876105217935,9.58,0.25,212.626996481326,3054.843879
"WH24B",0.4,900,10,97.97961914,NA,1173.15,0.000852405915697055,NA,NA,NA,NA,NA,NA
"WH24C",0.4,900,10,97.30754661,8.51697810105949,1173.15,0.000852405915697055,6.90692421967379,5.15864785152072,9.57,0.39,147.260156089509,3181.020569
"WH25A",0.1,800,10,79.25205231,0.109601621548299,1073.15,0.000931836183198994,2.46486532540467,1.79284883943903,10.35,0.75,51.6294329315555,NA
"WH25B",0.1,800,10,79.9778112,0.151057418032142,1073.15,0.000931836183198994,2.78567317225749,2.11365668629184,10.37,0.56,116.605661846192,NA
"WH25C",0.1,800,10,80.50117735,NA,1073.15,0.000931836183198994,NA,NA,NA,NA,NA,NA
"WH26A",0.2,800,10,81.79126837,0.655293903365584,1073.15,0.000931836183198994,4.25309699827604,3.07238515443274,NA,NA,NA,NA
"WH26B",0.2,800,10,80.30325702,0.859114923184532,1073.15,0.000931836183198994,4.52391585606345,3.34320401222014,10.22,0.8,84.5906781375295,NA
"WH26C",0.2,800,10,79.89767421,0.632744468020432,1073.15,0.000931836183198994,4.21807981248139,3.03736796863808,NA,NA,NA,NA
"WH27A",0.4,800,10,85.3721513,2.38501830026174,1073.15,0.000931836183198994,5.54497523221022,3.79669886405715,10.15,0.62,96.8835846089176,237.8208339
"WH27B",0.4,800,10,84.80993757,3.35996272270865,1073.15,0.000931836183198994,5.88769831431525,4.13942194616218,NA,NA,NA,190.4098797
"WH27C",0.4,800,10,84.56923846,4.10043707362983,1073.15,0.000931836183198994,6.08686200618651,4.33858563803344,10.09,0.45,152.593414158748,115.9722316
"WH28A",0.1,700,10,56.66692135,0.0142630285397883,973.15,0.00102759081333813,0.327868633218402,-0.344147852747242,11.55,0.73,19.506572971752,NA
"WH28B",0.1,700,10,55.28404485,0.0186393215075396,973.15,0.00102759081333813,0.595471269497248,-0.0765452164683964,11.55,0.77,27.0007899599223,NA
"WH28C",0.1,700,10,56.12529962,0.0223710093639747,973.15,0.00102759081333813,0.777963756518571,0.105947270552926,11.54,0.63,25.2395781613824,NA
"WH29A",0.2,700,10,52.79288681,0.0389495884712049,973.15,0.00102759081333813,1.33246606740736,0.151754223564054,11.59,0.54,24.7958158535482,NA
"WH29B",0.2,700,10,53.41645958,0.0520788196384936,973.15,0.00102759081333813,1.62295619396443,0.442244350121126,11.61,0.63,26.3187745969412,NA
"WH29C",0.2,700,10,52.91411043,0.0664431479769974,973.15,0.00102759081333813,1.86654452508457,0.68583268124127,11.63,0.57,22.6222817905165,NA
"WH30A",0.2,900,50,92.59969325,3.09652861213955,1173.15,0.000852405915697055,4.28570639379574,3.10499454995244,NA,NA,NA,NA
"WH30B",0.2,900,50,91.42265295,3.75678198063612,1173.15,0.000852405915697055,4.47898744702156,3.29827560317825,NA,NA,NA,NA
"WH30C",0.2,900,50,92.45745102,5.26996012755046,1173.15,0.000852405915697055,4.81744750888253,3.63673566503922,NA,NA,NA,NA
"WH31A",0.24,900,50,97.18038822,2.38362948165428,1173.15,0.000852405915697055,4.02404903064276,2.69929002704963,NA,NA,NA,40.76838197
"WH31B",0.24,900,50,98.97052945,2.02603860752884,1173.15,0.000852405915697055,3.86150717396847,2.53674817037533,NA,NA,NA,NA
"WH31C",0.24,900,50,97.85856743,2.32970313227344,1173.15,0.000852405915697055,4.00116556070628,2.67640655711314,NA,NA,NA,2.497750031
"WH32A",0.35,900,50,97.15040152,23.2860414187373,1173.15,0.000852405915697055,6.30327881259778,4.66836237198796,9.68,0.44,105.797456730362,469.2225482
"WH32B",0.35,900,50,98.39924529,8.94766582054032,1173.15,0.000852405915697055,5.34681740838528,3.71190096777546,9.69,0.48,120.294387679981,548.0609275
"WH32C",0.35,900,50,98.47465035,14.124908770687,1173.15,0.000852405915697055,5.80336453058681,4.16844808997699,9.72,0.32,138.824297359939,419.9532492
"WH33A",0.28,900,150,99.030567,20.0378729706219,1173.15,0.000852405915697055,5.05443655501245,3.60485169958964,NA,NA,NA,NA
"WH33B",0.28,900,150,99.272102,10.9426491458496,1173.15,0.000852405915697055,4.44948034357062,2.99989548814781,NA,NA,NA,2.931569243
"WH33C",0.28,900,150,100.36748,10.5312337893356,1173.15,0.000852405915697055,4.41115791187935,2.96157305645654,9.42,0.37,137.445595204705,3.113758198
"WH34A",0.24,900,150,97.70729744,6.50638871094067,1173.15,0.000852405915697055,3.92959699641841,2.60483799282528,NA,NA,NA,0.894005924
"WH34B",0.24,900,150,99.10841083,8.0048163705882,1173.15,0.000852405915697055,4.13685583046565,2.81209682687252,NA,NA,NA,0.390313592
"WH34C",0.24,900,150,98.4386263,5.36126353213234,1173.15,0.000852405915697055,3.73601210452816,2.41125310093503,NA,NA,NA,NA
"WH35A",0.35,900,150,99.05773397,63.0590006924058,1173.15,0.000852405915697055,6.20088323067784,4.56596679006802,9.64,0.44,132.715463338363,5.521172903
"WH35B",0.35,900,150,99.28251911,19.0125361434336,1173.15,0.000852405915697055,5.00191098223838,3.36699454162856,9.64,0.36,153.844645236022,9.965027696
"WH35C",0.35,900,150,100.6421791,19.7826198382183,1173.15,0.000852405915697055,5.04161618989171,3.40669974928189,9.59,0.45,173.8397856088,4.111845276
"WH36A",0.28,900,10,91.31577402,1.65910110252705,1173.15,0.000852405915697055,5.27113857592184,3.82155372049903,9.69,0.36,89.3440951151233,1.473108935
"WH36B",0.28,900,10,93.90963973,3.38922797245475,1173.15,0.000852405915697055,5.98546478343908,4.53587992801627,9.65,0.31,139.962381997966,2.140809681
"WH37A",0.24,900,10,91.09024445,1.63286395352878,1173.15,0.000852405915697055,5.25519812447939,3.93043912088626,9.82,0.5,92.9186871473983,1.094080448
"WH37B",0.24,900,10,92.83453257,1.35469546365948,1173.15,0.000852405915697055,5.06843930372646,3.74368030013333,9.88,0.45,81.1554577939022,1.336131917
"WH38A",0.35,900,10,96.38684858,6.46975591680793,1173.15,0.000852405915697055,6.63200100714543,4.99708456653561,9.65,0.43,170.264194672559,38.41071879
"WH38B",0.35,900,10,95.70857355,6.12266266724223,1173.15,0.000852405915697055,6.57685970297442,4.9419432623646,NA,NA,NA,28.80608657
"WH38V",0.35,900,10,NA,NA,1173.15,NA,NA,NA,9.67,0.24,171.721519716383,NA
"WH38W",0.35,900,10,NA,NA,1173.15,NA,NA,NA,9.54,0.34,181.383371950044,NA
"WH38X",0.35,900,10,NA,NA,1173.15,NA,NA,NA,9.66,0.26,277.529239455879,NA
"WH38Y",0.35,900,10,NA,NA,1173.15,NA,NA,NA,9.58,0.33,155.253895983533,NA
"WH38Z",0.35,900,10,NA,NA,1173.15,NA,NA,NA,9.61,0.26,189.457780351573,NA
