"avevoronoix","voronoicount","Labelfineshort"
0.96527824139338,39214,"900-10-28A0012.tiff"
0.831503330749354,44118,"900-10-28B0008.tiff"
0.827435503713352,43761,"900-10-28B0010.tiff"
0.816631736128485,49562,"900-10-28B0012.tiff"
0.839179215468958,33745,"900-10-35A0008.tiff"
0.991035905214803,30912,"900-10-35A0010.tiff"
0.929630544337861,31587,"900-10-35A0012.tiff"
0.924210544830399,29422,"900-10-35A0020.tiff"
0.886695359404626,31644,"900-10-35A0022.tiff"
0.94814372060387,28218,"900-10-35A0024.tiff"
0.800003389375619,25225,"900-10-40A0002.tiff"
0.806711179775281,22517,"900-10-40A0004.tiff"
0.831070480990925,28539,"900-10-40A0006.tiff"
1.42040608474709,38314,"900-10H_10NiB0006.tiff"
1.5034472704846,37577,"900-10H_10NiB0007.tiff"
1.48127191965978,37976,"900-10H_10NiB0008.tiff"
1.08732864224992,38348,"900-10H_24(20)NiA0006.tiff"
1.06602224190509,35022,"900-10H_24(20)NiA0007.tiff"
1.1108593207445,38791,"900-10H_24(20)NiA0008.tiff"
0.9119772442881,28143,"900-10H_40NiC0006.tiff"
0.907872954091267,25420,"900-10H_40NiC0007.tiff"
0.842497717384568,25816,"900-10H_40NiC0008.tiff"
1.21319803494722,43580,"900-5-10A0002.tiff"
1.05821077201371,48731,"900-5-10A0004.tiff"
1.26347697730673,44110,"900-5-10A0006.tiff"
1.2477681130672,44363,"900-5-10B0002.tiff"
1.16947395175439,47652,"900-5-10B0004.tiff"
1.20548647863867,45573,"900-5-10B0006.tiff"
1.22863062106099,45316,"900-5-10C0002.tiff"
1.25925212630252,44433,"900-5-10C0004.tiff"
1.19518974703174,45397,"900-5-10C0006.tiff"
1.23967917874611,44980,"900-5-10D0002.tiff"
1.26584099381506,45918,"900-5-10D0004.tiff"
1.25720099535277,44973,"900-5-10D0006.tiff"
0.700832520179372,46607,"900-5-20A0004.tiff"
0.667229453109127,46267,"900-5-20A0006.tiff"
0.707309208705703,48451,"900-5-20A0008.tiff"
0.741864540997895,47039,"900-5-20B0002.tiff"
0.709255984348553,47855,"900-5-20B0004.tiff"
0.704779362380469,47268,"900-5-20B0006.tiff"
0.963979259866411,49106,"900-5-20C0002.tiff"
0.911950139295944,48178,"900-5-20C0004.tiff"
1.01844218675432,45177,"900-5-20C0006.tiff"
1.24105081900887,43748,"900-5-20D0002.tiff"
1.24670161958411,44291,"900-5-20D0004.tiff"
1.18800775260493,44435,"900-5-20D0006.tiff"
0.975369116048761,47661,"900-5-24A0002.tiff"
0.989045919295883,41584,"900-5-24A0004.tiff"
0.976346718194681,48058,"900-5-24A0006.tiff"
1.02233099184839,43059,"900-5-24A0008.tiff"
0.99477140274692,44559,"900-5-24A0010.tiff"
1.03602690639442,42412,"900-5-24A0012.tiff"
0.658844860544553,60894,"900-5-24C0002.tiff"
0.702849957183805,61402,"900-5-24C0004.tiff"
0.695194424522836,60409,"900-5-24C0006.tiff"
0.630964113994563,52599,"900-5-24D0002.tiff"
0.635417522751323,51975,"900-5-24D0004.tiff"
0.669403441388166,55296,"900-5-24D0006.tiff"
0.629039855141187,60735,"900-5-24E0002.tiff"
0.649438923502444,59113,"900-5-24E0004.tiff"
0.665662800554066,55589,"900-5-24E0006.tiff"
0.765924489641746,47257,"900-5-28A0006.tiff"
0.786101872747702,49838,"900-5-28A0008.tiff"
0.716887167520261,50961,"900-5-28A0010.tiff"
0.750212606713281,48054,"900-5-28B0002.tiff"
0.731190001032074,50384,"900-5-28B0004.tiff"
0.735497770242348,51785,"900-5-28B0006.tiff"
0.831008169874629,44109,"900-5-28C0002.tiff"
0.805490394260282,45612,"900-5-28C0004.tiff"
0.820070828696793,44214,"900-5-28C0006.tiff"
0.813093136992996,42973,"900-5-28D0002.tiff"
0.784147187762448,43342,"900-5-28D0004.tiff"
