 ,Label,Area,X,Y,XM,YM,Perim.,Circ.,Feret,%Area,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
941,WH40P,0.006,5.518,11.808,5.518,11.808,0.275,1.000,0.117,100,5.482,11.856,63.435,0.079,1.340,0.746,0.857
942,WH40P,0.005,9.849,11.876,9.849,11.876,0.238,1.000,0.095,100,9.836,11.830,123.690,0.079,1.069,0.936,0.875
943,WH40P,0.003,20.964,11.974,20.964,11.974,0.201,0.857,0.083,100,20.957,11.934,108.435,0.052,1.468,0.681,0.800
944,WH40P,0.019,3.228,12.075,3.228,12.075,0.559,0.747,0.249,100,3.200,12.197,71.565,0.105,2.360,0.424,0.885
945,WH40P,0.030,13.085,12.101,13.085,12.101,0.698,0.762,0.283,100,13.036,12.223,68.199,0.167,1.779,0.562,0.811
946,WH40P,0.012,0.241,12.103,0.241,12.103,0.454,0.713,0.200,100,0.210,12.197,66.801,0.094,2.451,0.408,0.810
947,WH40P,0.006,16.409,12.061,16.409,12.061,0.275,1.000,0.117,100,16.393,12.118,63.435,0.079,1.340,0.746,0.857
948,WH40P,0.015,11.866,12.340,11.866,12.340,0.432,1.000,0.185,100,11.803,12.407,45.000,0.131,1.288,0.776,0.936
949,WH40P,0.045,23.826,12.706,23.826,12.706,0.991,0.580,0.424,100,23.738,12.905,68.199,0.161,3.337,0.300,0.790
950,WH40P,0.006,16.170,12.852,16.170,12.852,0.275,0.914,0.108,100,16.157,12.800,104.036,0.079,1.195,0.837,0.800
951,WH40P,0.009,12.063,12.987,12.063,12.987,0.312,1.000,0.131,100,12.013,13.036,36.870,0.105,1.159,0.863,0.897
952,WH40P,0.017,11.694,13.125,11.694,13.125,0.439,1.000,0.176,100,11.620,13.167,26.565,0.131,1.222,0.818,0.906
953,WH40P,0.077,1.571,13.337,1.571,13.337,1.408,0.488,0.598,100,1.259,13.272,164.745,0.207,3.606,0.277,0.772
954,WH40P,0.034,5.801,13.377,5.801,13.377,0.766,0.722,0.342,100,5.718,13.246,122.471,0.167,2.445,0.409,0.831
955,WH40P,0.011,10.715,13.351,10.715,13.351,0.349,1.000,0.141,100,10.649,13.325,158.199,0.105,1.209,0.827,0.889
956,WH40P,0.009,13.275,13.406,13.275,13.406,0.312,1.000,0.131,100,13.246,13.351,126.870,0.105,1.159,0.863,0.897
957,WH40P,0.036,8.264,13.523,8.264,13.523,0.819,0.671,0.274,100,8.105,13.482,163.301,0.241,1.097,0.911,0.765
958,WH40P,0.012,13.506,13.551,13.506,13.551,0.365,1.000,0.153,100,13.456,13.613,59.036,0.105,1.263,0.792,0.919
959,WH40P,0.025,13.248,13.647,13.248,13.647,0.587,0.928,0.224,100,13.193,13.744,69.444,0.184,1.230,0.813,0.860
960,WH40P,0.054,5.683,13.812,5.683,13.812,0.985,0.704,0.427,100,5.639,14.033,79.380,0.157,2.795,0.358,0.924
961,WH40P,0.002,1.526,13.661,1.526,13.661,0.148,1.000,0.074,100,1.495,13.639,135.000,0.052,1.464,0.683,0.857
962,WH40P,0.133,26.167,14.031,26.167,14.031,1.467,0.779,0.505,100,26.098,14.269,62.103,0.420,1.130,0.885,0.890
963,WH40P,0.006,20.720,13.938,20.720,13.938,0.275,1.000,0.131,100,20.669,13.980,36.870,0.079,1.817,0.550,0.857
964,WH40P,0.016,25.141,13.967,25.141,13.967,0.432,1.000,0.185,100,25.075,13.902,135.000,0.131,1.202,0.832,0.958
965,WH40P,0.028,7.179,14.142,7.179,14.142,0.878,0.449,0.307,100,7.108,13.980,109.983,0.188,2.075,0.482,0.645
966,WH40P,0.006,20.498,14.098,20.498,14.098,0.253,1.000,0.111,100,20.459,14.059,135.000,0.079,1.000,1.000,1.000
967,WH40P,0.012,15.975,14.319,15.975,14.319,0.402,0.911,0.189,100,15.895,14.269,146.310,0.105,2.054,0.487,0.872
968,WH40P,0.097,11.815,14.541,11.815,14.541,1.257,0.771,0.440,100,11.620,14.610,17.354,0.365,1.200,0.833,0.852
969,WH40P,0.014,11.221,14.562,11.221,14.562,0.439,0.943,0.189,100,11.174,14.479,123.690,0.129,1.547,0.646,0.857
970,WH40P,0.016,15.408,14.817,15.408,14.817,0.491,0.824,0.223,100,15.318,14.898,45.000,0.130,1.730,0.578,0.836
971,WH40P,0.001,5.233,14.820,5.233,14.820,0.127,1.000,0.059,100,5.220,14.793,116.565,0.026,2.000,0.500,1.000
972,WH40P,0.008,14.687,15.205,14.687,15.205,0.312,0.976,0.131,100,14.636,15.239,36.870,0.093,1.450,0.689,0.846
973,WH40P,0.012,9.571,15.354,9.571,15.354,0.365,1.000,0.153,100,9.521,15.292,120.964,0.105,1.263,0.792,0.919
974,WH40P,0.012,18.879,15.413,18.879,15.413,0.386,1.000,0.153,100,18.833,15.475,59.036,0.130,1.130,0.885,0.857
975,WH40P,0.004,23.860,15.405,23.860,15.405,0.223,1.000,0.095,100,23.816,15.423,33.690,0.074,1.291,0.775,0.800
976,WH40P,0.003,1.862,15.449,1.862,15.449,0.148,1.000,0.074,100,1.836,15.423,135.000,0.052,1.000,1.000,1.000
977,WH40P,0.111,21.662,16.155,21.662,16.155,1.415,0.700,0.504,100,21.534,15.948,128.660,0.376,1.453,0.688,0.831
978,WH40P,0.005,24.504,16.092,24.504,16.092,0.223,1.000,0.095,100,24.472,16.052,123.690,0.079,1.069,0.936,0.875
979,WH40P,0.010,8.583,16.131,8.583,16.131,0.327,1.000,0.131,100,8.551,16.079,126.870,0.105,1.020,0.981,0.933
980,WH40P,0.004,10.037,16.114,10.037,16.114,0.223,1.000,0.095,100,9.993,16.131,33.690,0.074,1.291,0.775,0.800
981,WH40P,0.059,9.748,16.224,9.748,16.224,1.103,0.611,0.453,100,9.521,16.236,10.008,0.203,2.498,0.400,0.823
982,WH40P,0.020,25.719,16.438,25.719,16.438,0.507,0.977,0.211,100,25.679,16.341,119.745,0.131,1.496,0.669,0.921
983,WH40P,0.125,5.912,16.672,5.912,16.672,1.900,0.434,0.706,100,5.692,16.997,48.013,0.358,2.334,0.429,0.734
984,WH40P,0.014,25.446,16.470,25.446,16.470,0.417,1.000,0.176,100,25.364,16.498,26.565,0.105,1.475,0.678,0.933
985,WH40P,0.035,6.830,16.580,6.830,16.580,0.745,0.795,0.284,100,6.689,16.656,33.690,0.196,1.507,0.664,0.843
986,WH40P,0.069,9.074,16.677,9.074,16.677,1.066,0.761,0.415,100,8.970,16.866,71.565,0.252,1.581,0.633,0.866
987,WH40P,0.025,3.259,16.679,3.259,16.679,0.633,0.798,0.267,100,3.226,16.551,101.310,0.131,2.034,0.492,0.881
988,WH40P,0.010,26.668,16.701,26.668,16.701,0.365,0.911,0.166,100,26.597,16.682,161.565,0.079,1.851,0.540,0.903
989,WH40P,0.005,7.803,16.729,7.803,16.729,0.238,1.000,0.095,100,7.790,16.682,123.690,0.079,1.069,0.936,0.875
990,WH40P,0.011,3.567,16.800,3.567,16.800,0.349,1.000,0.141,100,3.541,16.734,111.801,0.105,1.209,0.827,0.889
