Distance (µm),Ni Kα1 (counts),
3.54307253636401,22,
3.55520634642005,6,
3.56734015647609,12,
3.57947396653213,20,
3.59160777658817,11,
3.60374158664421,19,
3.61587539670025,14,
3.62800920675629,13,
3.64014301681234,14,
3.65227682686838,15,
3.66441063692442,13,
3.67654444698046,23,
3.6886782570365,19,
3.70081206709254,18,
3.71294587714858,10,
3.72507968720462,12,
3.73721349726066,15,
3.74934730731671,24,
3.76148111737275,12,
3.77361492742879,18,
3.78574873748483,13,
3.79788254754087,17,
3.81001635759691,16,
3.82215016765295,31,
3.83428397770899,11,
3.84641778776504,14,
3.85855159782108,25,
3.87068540787712,19,
3.88281921793316,17,
3.8949530279892,27,
3.90708683804524,37,
3.91922064810128,37,
3.93135445815732,29,
3.94348826821336,35,
3.95562207826941,27,
3.96775588832545,23,
3.97988969838149,37,
3.99202350843753,42,
4.00415731849357,49,
4.01629112854961,54,
4.02842493860565,57,
4.04055874866169,42,
4.05269255871773,45,
4.06482636877378,51,
4.07696017882982,63,
4.08909398888586,61,
4.1012277989419,53,
4.11336160899794,71,
4.12549541905398,64,
4.13762922911002,66,
4.14976303916606,66,
4.1618968492221,66,
4.17403065927815,64,
4.18616446933419,78,
4.19829827939023,94,
4.21043208944627,77,
4.22256589950231,71,
4.23469970955835,96,
4.24683351961439,98,
4.25896732967043,104,
4.27110113972647,98,
4.28323494978252,100,
4.29536875983856,95,
4.3075025698946,100,
4.31963637995064,110,
4.33177019000668,97,
4.34390400006272,126,
4.35603781011876,93,
4.3681716201748,123,
4.38030543023084,135,
4.39243924028689,115,
4.40457305034293,111,
4.41670686039897,135,
4.42884067045501,145,
4.44097448051105,113,
4.45310829056709,136,
4.46524210062313,146,
4.47737591067917,142,
4.48950972073521,135,
4.50164353079126,149,
4.5137773408473,123,
4.52591115090334,141,
4.53804496095938,151,
4.55017877101542,138,
4.56231258107146,159,
4.5744463911275,145,
4.58658020118354,155,
4.59871401123958,156,
4.61084782129563,130,
4.62298163135167,170,
4.63511544140771,143,
4.64724925146375,154,
4.65938306151979,181,
4.67151687157583,142,
4.68365068163187,156,
4.69578449168791,164,
4.70791830174395,150,
4.7200521118,151,
4.73218592185604,187,
4.74431973191208,190,
4.75645354196812,147,
4.76858735202416,162,
4.7807211620802,173,
4.79285497213624,160,
4.80498878219228,181,
4.81712259224832,183,
4.82925640230437,155,
4.84139021236041,161,
4.85352402241645,158,
4.86565783247249,169,
4.87779164252853,159,
4.88992545258457,163,
