filename,fit_method,data_pts,rchi2,red_rchi2,aic,bic,G2_amplitude,G2_center,G2_sigma,G2_fwhm,G2_height,SG1_amplitude,SG1_center,SG1_sigma,SG1_gamma,SG1_height,SG1_fwhm,Label,WHpeakNum
WH33B.txt,leastsq,512,0.012141459,2.40E-05,-5438.520418,-5408.852145,0.268322822,0.394414054,0.94983867,2.236699096,0.112698427,0.764622692,-3.137923338,1.948151505,3.313154991,0.15657937,4.587546127,WH33B,2
WH33C.txt,leastsq,512,0.010832441,2.15E-05,-5496.929647,-5467.261375,0.252764716,1.005049452,0.854189256,2.011461944,0.118051751,0.771605757,-3.190183739,1.675541167,3.225520946,0.183717465,3.945597851,WH33C,2
WH34A.txt,leastsq,512,0.013999286,2.77E-05,-5365.621666,-5335.953394,0.251078972,0.477238979,0.760485609,1.790806721,0.131713239,0.781598492,-2.958736547,1.781950096,2.516594037,0.174983969,4.196171724,WH34A,2
WH34B.txt,leastsq,512,0.009319413,1.85E-05,-5573.957896,-5544.289624,0.405684408,0.362071225,0.791238732,1.86322479,0.204545941,0.637436478,-2.915342116,1.662895179,1.715302366,0.15292628,3.915818826,WH34B,2
WH34C.txt,leastsq,512,0.022077415,4.37E-05,-5132.380676,-5102.712403,0.309857178,0.399216984,0.645801426,1.520746115,0.191413537,0.763305105,-1.629328044,1.373600775,0.020907973,0.221690829,3.234582578,WH34C,2
WH35A.txt,leastsq,512,0.008030457,1.59E-05,-5650.173322,-5620.505049,0.186295327,0.893083087,0.883855204,2.081319912,0.0840874,0.81105128,-3.29625467,1.876164532,6.23316881,0.172459642,4.418029764,WH35A,2
WH35B.txt,leastsq,512,0.007423004,1.47E-05,-5690.446,-5660.777727,0.255012853,0.520413266,1.190596493,2.803640433,0.085449113,0.783605923,-3.084557899,1.383597813,2.056194021,0.2259425,3.258123802,WH35B,2
WH35C.txt,leastsq,512,0.013098032,2.59E-05,-5399.692356,-5370.024084,0.312426865,0.797937563,0.900896904,2.121450047,0.138351338,0.735853271,-2.958114012,1.259345514,1.32334081,0.233107589,2.965532004,WH35C,2
WH36A.txt,leastsq,512,0.004679045,9.27E-06,-5926.728779,-5897.060506,0.395167501,0.044891652,0.741302227,1.745633309,0.212664992,0.649551088,-1.689990988,1.138574134,0.021535996,0.227594671,2.681137142,WH36A,2
WH36B.txt,leastsq,512,0.004880314,9.66E-06,-5905.16558,-5875.497308,0.225713045,0.336694836,0.856922146,2.017897407,0.105081286,0.835234979,-3.175709374,1.825498424,2.468272464,0.18253128,4.2987202,WH36B,2
WH37A.txt,leastsq,512,0.041881918,8.29E-05,-4804.54757,-4774.879298,0.332712115,0.027720617,0.712806852,1.678531832,0.186211645,0.718511658,-1.523507592,1.259552436,0.028760031,0.227576626,2.966019268,WH37A,2
WH37B.txt,leastsq,512,0.029714671,5.88E-05,-4980.272774,-4950.604502,0.338245886,0.000219144,0.783088327,1.844032055,0.172318482,0.745480743,-1.861571267,1.23515765,0.027502206,0.240782059,2.908573937,WH37B,2
WH38A.txt,leastsq,512,0.00718232,1.42E-05,-5707.322196,-5677.653923,0.276415705,0.659146332,0.782680251,1.843071109,0.140892679,0.775895389,-3.041878307,1.928929764,2.14895366,0.160471105,4.542282388,WH38A,2
WH38B.txt,leastsq,512,0.00714395,1.41E-05,-5710.064809,-5680.396536,0.349458385,0.626167456,0.808148533,1.903044327,0.172510035,0.699349307,-2.422953701,1.494493591,0.930906019,0.186685324,3.519263397,WH38B,2
