X	Y	Dlc	r²	Standard-Error	y-intercept	Local-Fractal-Dimension	r²	Standard-Error	y-intercept
8.0	485.0	1.1693	0.9878	0.1264	8.2839	1.1693	0.9878	0.1264	8.2839	
8.0	500.0	1.1655	0.9765	0.1761	7.9881	1.1794	0.9722	0.1941	8.0697	
8.0	516.0	1.1178	0.9939	0.085	7.9226	1.1178	0.9939	0.085	7.9226	
8.0	517.0	1.0966	0.9875	0.1201	7.8356	1.0966	0.9875	0.1201	7.8356	
8.0	518.0	1.1153	0.9925	0.0944	7.9133	1.1153	0.9925	0.0944	7.9133	
8.0	725.0	1	1	0	6.9921	1	1	0	6.9921	
8.0	850.0	0.8836	0.9843	0.1088	6.0341	0.8836	0.9843	0.1088	6.0341	
8.0	941.0	1.1065	0.9861	0.1277	7.8779	1.1065	0.9861	0.1277	7.8779	
8.0	942.0	1.1065	0.9861	0.1277	7.8779	1.1065	0.9861	0.1277	7.8779	
9.0	156.0	1.1869	0.9972	0.0607	8.3512	1.1869	0.9972	0.0607	8.3512	
9.0	157.0	1.1692	0.997	0.0629	8.2422	1.1692	0.997	0.0629	8.2422	
9.0	406.0	1	1	0	6.9921	1	1	0	6.9921	
9.0	482.0	1.0403	0.9774	0.1539	7.4956	1.0403	0.9774	0.1539	7.4956	
9.0	483.0	1.0721	0.9671	0.1924	7.7615	1.0721	0.9671	0.1924	7.7615	
9.0	500.0	1.1268	0.9776	0.1659	7.7481	1.1362	0.9734	0.1827	7.8034	
9.0	518.0	1.1153	0.9925	0.0944	7.9133	1.1153	0.9925	0.0944	7.9133	
9.0	519.0	1.0898	0.9857	0.1276	7.7985	1.0898	0.9857	0.1276	7.7985	
9.0	520.0	1.0979	0.989	0.1128	7.8107	1.0979	0.989	0.1128	7.8107	
9.0	725.0	1	1	0	6.9921	1	1	0	6.9921	
9.0	942.0	1.047	0.9734	0.1684	7.5658	1.047	0.9734	0.1684	7.5658	
10.0	156.0	1.1639	0.9924	0.0992	8.2584	1.1639	0.9924	0.0992	8.2584	
10.0	406.0	1	1	0	6.9921	1	1	0	6.9921	
10.0	481.0	1.0057	0.9795	0.1417	7.2159	1.0057	0.9795	0.1417	7.2159	
10.0	482.0	1.0282	0.9661	0.1875	7.4623	1.0282	0.9661	0.1875	7.4623	
10.0	500.0	1	1	0	6.9921	1.0857	0.9825	0.1409	7.4997	
10.0	520.0	1.0979	0.989	0.1128	7.8107	1.0979	0.989	0.1128	7.8107	
10.0	521.0	1.0564	0.9797	0.1481	7.5962	1.0564	0.9797	0.1481	7.5962	
10.0	522.0	1.0486	0.9818	0.1391	7.5052	1.0486	0.9818	0.1391	7.5052	
10.0	725.0	1	1	0	6.9921	1	1	0	6.9921	
10.0	942.0	1.0311	0.9743	0.1629	7.4074	1.0311	0.9743	0.1629	7.4074	
10.0	943.0	1.0032	0.9639	0.1889	7.2909	1.0032	0.9639	0.1889	7.2909	
11.0	155.0	1.1971	0.9962	0.0718	8.4427	1.1971	0.9962	0.0718	8.4427	
11.0	156.0	1.1768	0.9968	0.0647	8.3037	1.1768	0.9968	0.0647	8.3037	
11.0	406.0	1.0078	0.9996	0.0189	7.0379	1.0078	0.9996	0.0189	7.0379	
11.0	481.0	0.9842	0.9737	0.1576	7.117	0.9842	0.9737	0.1576	7.117	
11.0	500.0	1	1	0	6.9921	1.0428	0.9935	0.0819	7.2444	
11.0	522.0	1.0486	0.9818	0.1391	7.5052	1.0486	0.9818	0.1391	7.5052	
11.0	523.0	0.9858	0.9685	0.1731	7.1491	0.9858	0.9685	0.1731	7.1491	
11.0	524.0	0.9699	0.9786	0.1396	6.9772	0.9699	0.9786	0.1396	6.9772	
11.0	725.0	1	1	0	6.9921	1	1	0	6.9921	
11.0	943.0	0.9569	0.9565	0.1987	6.9851	0.9569	0.9565	0.1987	6.9851	
11.0	944.0	0.9848	0.9702	0.168	7.1016	0.9848	0.9702	0.168	7.1016	
12.0	155.0	1.1623	0.9919	0.1025	8.2792	1.1623	0.9919	0.1025	8.2792	
12.0	406.0	1.0228	0.9986	0.0372	7.1269	1.0228	0.9986	0.0372	7.1269	
12.0	480.0	1	1	0	6.9921	1	1	0	6.9921	
12.0	481.0	1.0329	0.9989	0.0331	7.2019	1.0329	0.9989	0.0331	7.2019	
12.0	500.0	1	1	0	6.9921	1.0152	0.9986	0.0368	7.0813	
12.0	524.0	0.9699	0.9786	0.1396	6.9772	0.9699	0.9786	0.1396	6.9772	
12.0	525.0	0.9227	0.9811	0.1248	6.6375	0.9227	0.9811	0.1248	6.6375	
12.0	526.0	0.9119	0.9968	0.0502	6.4284	0.9213	0.9962	0.0557	6.4837	
12.0	725.0	1	1	0	6.9921	1	1	0	6.9921	
12.0	944.0	0.9082	0.9556	0.1905	6.6334	0.9082	0.9556	0.1905	6.6334	
13.0	154.0	1.1681	0.99	0.1143	8.3378	1.1681	0.99	0.1143	8.3378	
13.0	155.0	1.1815	0.9973	0.0595	8.3319	1.1815	0.9973	0.0595	8.3319	
13.0	406.0	1.037	0.9981	0.0443	7.2139	1.037	0.9981	0.0443	7.2139	
13.0	500.0	1.0078	0.9996	0.0189	7.0379	1.0078	0.9996	0.0189	7.0379	
13.0	527.0	0.9162	0.9809	0.1245	6.2339	0.9568	0.9701	0.1635	6.4743	
13.0	725.0	1	1	0	6.9921	1	1	0	6.9921	
13.0	944.0	0.9291	0.9968	0.0515	6.5536	0.9291	0.9968	0.0515	6.5536	
13.0	945.0	0.9291	0.9968	0.0515	6.5536	0.9291	0.9968	0.0515	6.5536	
14.0	146.0	0.8816	0.9141	0.263	5.9635	0.8816	0.9141	0.263	5.9635	
14.0	147.0	0.9584	0.9181	0.2787	6.6072	0.9584	0.9181	0.2787	6.6072	
14.0	148.0	1.0676	0.9496	0.2394	7.3475	1.0676	0.9496	0.2394	7.3475	
14.0	149.0	1.1669	0.9753	0.1807	7.9999	1.1669	0.9753	0.1807	7.9999	
14.0	150.0	1.2407	0.9809	0.1684	8.4939	1.2407	0.9809	0.1684	8.4939	
14.0	151.0	1.271	0.9833	0.161	8.7434	1.271	0.9833	0.161	8.7434	
14.0	152.0	1.2514	0.9867	0.1416	8.7212	1.2514	0.9867	0.1416	8.7212	
14.0	153.0	1.1718	0.9887	0.1222	8.3713	1.1718	0.9887	0.1222	8.3713	
14.0	154.0	1.1623	0.9919	0.1025	8.2792	1.1623	0.9919	0.1025	8.2792	
14.0	406.0	1.0568	0.9974	0.052	7.3371	1.0568	0.9974	0.052	7.3371	
14.0	500.0	1.0154	0.9994	0.0245	7.0835	1.0154	0.9994	0.0245	7.0835	
14.0	725.0	1	1	0	6.9921	1	1	0	6.9921	
15.0	154.0	1.1815	0.9973	0.0595	8.3319	1.1815	0.9973	0.0595	8.3319	
15.0	406.0	1.0734	0.9975	0.0523	7.4484	1.0734	0.9975	0.0523	7.4484	
15.0	500.0	1.0225	0.9992	0.0275	7.1278	1.0225	0.9992	0.0275	7.1278	
15.0	725.0	1	1	0	6.9921	1	1	0	6.9921	
16.0	154.0	1.2119	0.9948	0.0852	8.422	1.2119	0.9948	0.0852	8.422	
16.0	406.0	1.0905	0.9978	0.0502	7.5728	1.0905	0.9978	0.0502	7.5728	
16.0	500.0	1.0287	0.9991	0.0297	7.1686	1.0287	0.9991	0.0297	7.1686	
16.0	725.0	1	1	0	6.9921	1	1	0	6.9921	
17.0	154.0	1.219	0.9905	0.116	8.399	1.219	0.9905	0.116	8.399	
17.0	406.0	1.0936	0.9975	0.0534	7.6363	1.0936	0.9975	0.0534	7.6363	
17.0	500.0	1.0329	0.9989	0.0331	7.2019	1.0329	0.9989	0.0331	7.2019	
17.0	534.0	0.9644	0.9985	0.0369	6.765	0.9886	0.9961	0.0605	6.9081	
17.0	535.0	0.9885	0.9915	0.0889	7.0442	0.9959	0.992	0.0869	7.0875	
17.0	725.0	1.0526	0.9847	0.1275	7.3013	1.0526	0.9847	0.1275	7.3013	
18.0	7.0	0.8517	0.9459	0.1983	6.2326	0.8517	0.9459	0.1983	6.2326	
18.0	8.0	0.8271	0.9593	0.1658	6.0313	0.8271	0.9593	0.1658	6.0313	
18.0	9.0	0.886	0.9855	0.1046	6.1302	0.886	0.9855	0.1046	6.1302	
18.0	154.0	1.2054	0.9853	0.1434	8.2729	1.2054	0.9853	0.1434	8.2729	
18.0	406.0	1.0659	0.9942	0.0792	7.5667	1.0659	0.9942	0.0792	7.5667	
18.0	500.0	1.0333	0.9983	0.0411	7.2186	1.0333	0.9983	0.0411	7.2186	
18.0	535.0	0.9532	0.9678	0.1694	6.9072	0.9606	0.9688	0.1679	6.9506	
18.0	536.0	1.0067	0.9708	0.17	7.2948	1.0067	0.9708	0.17	7.2948	
18.0	725.0	1.1081	0.9756	0.1706	7.6335	1.1081	0.9756	0.1706	7.6335	
19.0	6.0	0.8434	0.9166	0.2477	6.2607	0.8434	0.9166	0.2477	6.2607	
19.0	7.0	0.8238	0.92	0.2365	6.116	0.8238	0.92	0.2365	6.116	
19.0	154.0	1.1812	0.9804	0.1628	8.098	1.1812	0.9804	0.1628	8.098	
19.0	405.0	1.0492	0.9831	0.1338	7.5319	1.0492	0.9831	0.1338	7.5319	
19.0	406.0	1.0771	0.9938	0.0827	7.6484	1.0771	0.9938	0.0827	7.6484	
19.0	500.0	1.0693	0.9898	0.1054	7.4578	1.0693	0.9898	0.1054	7.4578	
19.0	536.0	1.0067	0.9708	0.17	7.2948	1.0067	0.9708	0.17	7.2948	
19.0	537.0	1.0539	0.9685	0.1852	7.6345	1.0539	0.9685	0.1852	7.6345	
19.0	725.0	1.1595	0.9734	0.1865	7.9488	1.1595	0.9734	0.1865	7.9488	
20.0	0.0	0.8534	0.9749	0.1332	5.806	0.8534	0.9749	0.1332	5.806	
20.0	1.0	0.8617	0.9903	0.0832	6.047	0.8617	0.9903	0.0832	6.047	
20.0	2.0	0.8983	0.9923	0.0768	6.3543	0.8983	0.9923	0.0768	6.3543	
20.0	3.0	0.9232	0.9744	0.1456	6.5574	0.9232	0.9744	0.1456	6.5574	
20.0	4.0	0.9248	0.9524	0.2013	6.6189	0.9248	0.9524	0.2013	6.6189	
