"modelid","ntree.int","mtry.int","nodesize.int","trainfrac","traindur","rf_rmse","train_adj_r2","test_adj_r2"
"PC-RF-196",196,12,9,0.35,0.0320630073547363,0.2,0.994,0.975
"PC-RF-197",296,10,3,0.3,0.042119026184082,0.28,0.993,0.929
"PC-RF-198",270,9,3,0.6,0.0837218761444092,0.2,0.997,0.973
"PC-RF-199",257,10,9,0.4,0.0394580364227295,0.29,0.988,0.965
"PC-RF-200",238,9,3,0.35,0.0380871295928955,0.25,0.994,0.96
"PC-RF-201",117,12,7,0.7,0.0466690063476562,0.14,0.998,0.988
"PC-RF-202",251,6,6,0.4,0.0352470874786377,0.31,0.989,0.89
"PC-RF-203",247,7,2,0.45,0.061837911605835,0.29,0.993,0.942
"PC-RF-204",115,7,4,0.6,0.0342631340026855,0.26,0.992,0.957
"PC-RF-205",34,5,5,0.6,0.00934004783630371,0.4,0.981,0.903
"PC-RF-206",187,8,3,0.7,0.0809750556945801,0.22,0.996,0.97
"PC-RF-207",194,7,4,0.4,0.0299091339111328,0.32,0.991,0.943
"PC-RF-208",298,11,7,0.3,0.0326540470123291,0.23,0.993,0.964
"PC-RF-209",284,8,9,0.5,0.0458590984344482,0.24,0.993,0.965
"PC-RF-210",295,11,9,0.6,0.113763093948364,0.19,0.995,0.982
"PC-RF-211",87,6,3,0.65,0.0219378471374512,0.26,0.994,0.962
"PC-RF-212",99,8,7,0.6,0.0234410762786865,0.27,0.99,0.973
"PC-RF-213",162,7,9,0.45,0.0207629203796387,0.29,0.988,0.952
"PC-RF-214",213,7,1,0.3,0.0274331569671631,0.36,0.991,0.911
"PC-RF-215",222,4,9,0.45,0.019665002822876,0.38,0.977,0.898
"PC-RF-216",102,6,5,0.5,0.0160160064697266,0.35,0.988,0.925
"PC-RF-217",243,10,6,0.5,0.0492250919342041,0.2,0.995,0.957
"PC-RF-218",62,10,9,0.55,0.0132369995117188,0.26,0.99,0.965
"PC-RF-219",13,7,3,0.7,0.00495505332946777,0.34,0.986,0.924
"PC-RF-220",49,12,7,0.4,0.00903487205505371,0.21,0.993,0.971
"PC-RF-221",167,7,1,0.45,0.0344998836517334,0.28,0.995,0.947
"PC-RF-222",162,7,7,0.65,0.0355141162872314,0.27,0.992,0.95
"PC-RF-223",296,8,5,0.65,0.0764191150665283,0.23,0.994,0.958
"PC-RF-224",114,6,8,0.65,0.0212371349334717,0.3,0.988,0.938
"PC-RF-225",49,5,3,0.4,0.00637602806091309,0.44,0.985,0.893
"PC-RF-226",154,9,7,0.65,0.0401079654693604,0.2,0.995,0.98
"PC-RF-227",23,5,4,0.45,0.00396394729614258,0.5,0.976,0.906
"PC-RF-228",178,4,3,0.45,0.021467924118042,0.41,0.988,0.945
